"Input";"Coordinates"
"VD STA IFIGENIA";"-23.5385508,-46.639108599999986"
"PTE DO LIMAO";"20.5846451,-100.37996909999998"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"LUIZ IGNACIO ANHAIA MELLO";"-23.5899779,-46.54398200000003"
"AV JUNTAS PROVISORIAS";"-23.5948996,-46.597620000000006"
"R DOM LUCAS OBES";"-23.5890264,-46.60110370000001"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:PTE ARICANDUVA INICIO"
"LUIZ IGNACIO ANHAIA MELLO";"-23.5899779,-46.54398200000003"
"AV JUNTAS PROVISORIAS";"-23.5948996,-46.597620000000006"
"R DOM LUCAS OBES";"-23.5890264,-46.60110370000001"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
" ERROR! Input:PTE ARICANDUVA INICIO"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
" ERROR! Input:PTE ARICANDUVA INICIO"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE NOVA FEPASA";"-22.2525151,-47.822882600000014"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
" ERROR! Input:PTE ARICANDUVA INICIO"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE NOVA FEPASA";"-22.2525151,-47.822882600000014"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
" ERROR! Input:PTE ARICANDUVA INICIO"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
" ERROR! Input:PTE ARICANDUVA INICIO"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
"CORINTHIANS";"39.3341042,-76.74830129999998"
" ERROR! Input:90 M DEPOIS DE ARMANDO CARDOSO ALVES TERMINO DO ELEVADO"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1950 M DEPOIS DE PTE ENG ARY TORRES"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
" ERROR! Input:680 M DEPOIS DE PTE PRES DUTRA"
" ERROR! Input:150 M DEPOIS DE  CORINTHIANS"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
" ERROR! Input:90 M DEPOIS DE ARMANDO CARDOSO ALVES TERMINO DO ELEVADO"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
"R JOAO CARLOS MALLET";"-23.6230837,-46.65314810000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1950 M DEPOIS DE PTE ENG ARY TORRES"
" ERROR! Input:60 M DEPOIS DE QUINTANA"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:1160 M DEPOIS DE  HOSPITAL V.Ma"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
" ERROR! Input:680 M DEPOIS DE PTE PRES DUTRA"
"PTE TATUAPE";"-23.5259525,-46.58605840000001"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R PIRATININGA";"-23.5497646,-46.617817"
" ERROR! Input:PTE TATUAPE INICIO"
"MAUA";"-23.668163,-46.46170859999995"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1950 M DEPOIS DE PTE ENG ARY TORRES"
" ERROR! Input:60 M DEPOIS DE QUINTANA"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:1160 M DEPOIS DE  HOSPITAL V.Ma"
"PTE PRES DUTRA";"-19.1197445,-51.73144589999998"
"PTE TATUAPE";"-23.5259525,-46.58605840000001"
" ERROR! Input:190 M DEPOIS DE AL CAMPINAS"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
" ERROR! Input:PTE TATUAPE INICIO"
"MAUA";"-23.668163,-46.46170859999995"
" ERROR! Input:ANTONIO DE CARVALHO AGUIAR VD CUBATAO"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"PAES DE BARROS";"-23.5606778,-46.59901389999999"
" ERROR! Input:1950 M DEPOIS DE PTE ENG ARY TORRES"
" ERROR! Input:1960 M DEPOIS DE PTE ENG ARY TORRES"
"CORINTHIANS";"39.3341042,-76.74830129999998"
" ERROR! Input:MORUMBI INICIO"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"AV DR CHUCRI ZAIDAN";"-23.6197861,-46.698260800000014"
" ERROR! Input:PTE TATUAPE INICIO"
"MAUA";"-23.668163,-46.46170859999995"
"PEDROSO";"41.0637264,-8.558243700000048"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"PAES DE BARROS";"-23.5606778,-46.59901389999999"
" ERROR! Input:MORUMBI INICIO"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
"MAUA";"-23.668163,-46.46170859999995"
"PEDROSO";"41.0637264,-8.558243700000048"
" ERROR! Input:MORUMBI INICIO"
"MAUA";"-23.668163,-46.46170859999995"
